frequency_hz,adc1_rms_v,adc2_rms_v,amplitude_db,phase_deg
10.0,0.008714215596418596,0.00669882732380927,-12.685748560547154,109.26372172569219
510.0,0.006682869316768646,0.006768399163648317,-10.61151801552927,139.10248107842753
1000.0,0.009684162175551722,0.006828203742367917,-18.993177547653413,111.48371528602408
1010.0,0.008080836336874406,0.006534126225462445,-18.204817245630636,119.97490132590254
1510.0,0.008705326876380898,0.00686938983162849,-13.694664683636864,119.95447645548366
2010.0,0.008293051593581737,0.006798868963224893,-14.119198296405447,120.2138901988185
2510.0,0.007471338221299395,0.006886968830655411,-12.897753255149212,118.51878719943919
3010.0,0.008604656906630911,0.006824954584694724,-17.927737215966218,137.63916622373335
3510.0,0.006913840389333539,0.006842016762530186,-8.87845389255194,104.40093017971124
4010.0,0.007801259128734068,0.006785932043471905,-12.377365584423066,97.94899175395756
4510.0,0.007092176316160295,0.006565397925287167,-11.322853777144783,116.69786057564724
5010.0,0.007780504429592423,0.006742217485593129,-16.4204595817152,107.76387097177935
5510.0,0.007649981196061553,0.006794691388219418,-13.740870332837552,126.33504160699088
6010.0,0.008183190036352062,0.0068076628669561596,-17.186778656881764,100.8040876565941
6510.0,0.008235517937631776,0.00667304024896523,-17.208891102432297,115.9236692596406
7010.0,0.006804748686515763,0.006632712156573379,-11.574414602759662,112.78023448398322
7510.0,0.008701458633538457,0.006743788602777542,-12.945587164188506,110.02111256431415
8010.0,0.008332420936087184,0.006642281564977312,-9.241510162272714,105.68500203138015
8510.0,0.01079433218783857,0.006865441678422508,-20.70488811023835,110.28168208350448
9010.0,0.007428126875449638,0.006718275846153005,-19.833120670443705,87.85865911064546
9510.0,0.007532072290792505,0.0066154981960740615,-11.562504864236907,137.98536614352133
10010.0,0.007096836530258208,0.006617066584369411,-9.723560595806905,104.13939206968035
10510.0,0.010085826938464108,0.006606721224490871,-41.356719042105595,125.48056274026605
11010.0,0.008934378686043038,0.006713302371445247,-17.35190670811595,111.84127858611014
11510.0,0.008884044191086628,0.006859446837606563,-17.651046770107754,130.59632776996116
12010.0,0.008710089258102571,0.006914903246428767,-14.5318632655892,110.9135839642404
12510.0,0.007770710267270099,0.006889466376888675,-13.085916957291506,106.60037963728166
13010.0,0.00810536757743675,0.006779180464167225,-14.07689150423305,114.99578122783512
13510.0,0.009239912124332932,0.006879095522351209,-17.72833045088201,105.18838896733327
14010.0,0.007847376885436293,0.006565198731335099,-15.550935241234313,91.98450538225158
14510.0,0.006999529508959245,0.006828751596325157,-12.011326186362224,106.53374828531949
15010.0,0.01894441891512188,0.006747588503240698,-31.152613796124612,99.15766121416907
15510.0,0.008379646886640106,0.006819470940952111,-29.28670416044951,-177.93160626330254
16010.0,0.008122851802916345,0.00680415458917593,-19.08306649712396,127.59538617312708
16510.0,0.00943460093478662,0.006680360227817392,-16.624080721948438,117.18437789926544
17010.0,0.009081474513690693,0.006833401460152487,-14.645598165225381,110.11291578417143
17510.0,0.008856782315087743,0.006775523426249583,-22.079391963416658,113.11217101793802
18010.0,0.009103823540033173,0.006703482190051463,-20.9706942365345,123.38341566715854
18510.0,0.008673434665843846,0.006725816564367471,-16.725022943648522,119.19707582784014
19010.0,0.008368474357251883,0.006926506037221344,-18.552275944199813,114.29884264953508
19510.0,0.008848141357255286,0.006693118861775067,-16.35047446874271,119.26628248458775
20010.0,0.009287511204826886,0.006882607736320623,-16.367377270882052,103.14395627194384
20510.0,0.008676187732482145,0.006810197382609178,-15.579696057316541,114.70723554402512
21010.0,0.007944637518188281,0.0065484897991247,-14.511927757771302,112.05501412374306
21510.0,0.0098242818286429,0.006547093506684841,-17.95103218552141,126.57547574440889
22010.0,0.00867528326440442,0.006694760085108283,-15.841553079794487,102.18187427852486
22510.0,0.009182783580411281,0.006729018116139356,-16.694229325390722,105.38061454855055
23010.0,0.018869322214714417,0.006701217934316935,-33.94862986617328,98.16474483078379
23510.0,0.007268666062094797,0.0066989722082615305,-12.667742228692752,99.97340847916314
24010.0,0.008129439182772914,0.006655523838779801,-15.086938891760827,116.40645276693448
24510.0,0.009733063703441779,0.007046168788419777,-14.818049515552156,94.96166816238897
25010.0,0.00921182618036075,0.006585857714614168,-20.443572749933146,110.94693810321894
25510.0,0.007807590034087083,0.006687248476417628,-13.227107017266427,125.03945084283144
26010.0,0.008557930811975369,0.006819709664803226,-15.022659949249302,115.43387246060678
26510.0,0.00831782710203521,0.006811253326856102,-15.855552482085265,108.83338876479233
27010.0,0.008092513798369875,0.00673953743629572,-12.331804983184265,98.79601220353976
27510.0,0.009122354976647182,0.006792987339100281,-13.503720042892201,91.09906514148624
28010.0,0.008983671591431534,0.0068107894052716715,-15.442557013346754,117.24400004260852
28510.0,0.0071417211120599535,0.006747455310763319,-11.19559657921876,113.6364617228986
29010.0,0.009878889102418173,0.006683508185952323,-20.9632736195924,120.41653655496326
29510.0,0.007850384950066182,0.006634650370109835,-11.499876060932879,115.52702331502898
30010.0,0.009027916737146915,0.006814537023946229,-16.57252395771299,128.79690189283895
30510.0,0.009232576807771493,0.0068485178456800565,-15.480245605857503,113.14961104530418
31010.0,0.009684744406973676,0.006665028260375605,-17.61512553783774,124.27465333091324
31510.0,0.008153238358406197,0.006770160136494541,-16.18566803009777,113.55843324945488
32010.0,0.008352631527442412,0.006777890485044174,-15.190637976262618,108.47476593080529
32510.0,0.008309985945257906,0.006608418211717945,-17.097665627821126,116.53003852502864
33010.0,0.008038874110301691,0.0067331180158065945,-12.645410723741964,114.04971722362696
33510.0,0.00958249670149029,0.006777668428728575,-18.412299278770583,113.09866020645751
34010.0,0.009305376081807515,0.006826094047341048,-16.96831388011698,112.56345936613386
34510.0,0.006788983831003045,0.006672730567350809,-14.144425549462854,106.30171338609622
35010.0,0.007850100794344386,0.006878003258892866,-18.742294684896553,98.05539061365492
35510.0,0.007949555029485245,0.00680740983541873,-13.881066716813207,113.97659915868462
36010.0,0.008321385596501233,0.006815325542369902,-16.869342445073684,109.1718929752146
36510.0,0.007840884341981925,0.006809477819423767,-13.866911977757885,115.40669072708529
37010.0,0.00986008177451507,0.006726764383591402,-17.182652237423724,107.88614471527228
37510.0,0.008463951943391316,0.006676421004332026,-14.413697934347507,127.9067600044224
38010.0,0.007743014116530231,0.006727935351041198,-14.917370661457687,111.69501855525507
38510.0,0.010040152366014203,0.006758317317976932,-23.972208775585344,91.61192863507236
39010.0,0.008531827177508815,0.00672863856875566,-30.899298175729825,107.60557905862241
39510.0,0.007759013974476487,0.006721482169460699,-14.696854640058088,115.0172308037349
40010.0,0.009297753153922108,0.006669507442296174,-18.10042638452104,110.21760539509565
40510.0,0.010025062671046865,0.006750252785794545,-17.691395576474285,100.02099952055376
41010.0,0.007697356806562839,0.006712729999615842,-14.045183674602287,98.7547618051463
41510.0,0.0194722835763286,0.006858377541167047,-27.70746785504979,103.85956551400226
42010.0,0.010189620739074222,0.00663338996511892,-14.848534928367235,126.99370579168294
42510.0,0.008010281596034743,0.006758341710570597,-14.154587599624344,121.92507360454545
43010.0,0.007103878777738266,0.006696664554805017,-13.727697526412106,111.735154835172
43510.0,0.009176375241732213,0.0067533007113878,-16.38991368726711,99.21887308313134
